kc,avg_mastery,num_students
CLT-R-DEN,0.3007246376811594,23
CLT-R-NUM,0.10416666666666667,24
CLT-ROW-1,0.7063119537234515,706
CLT-ROW-1-COEFF,0.7391886182370305,674
CLT-ROW-2-SINGLE,0.8247652268185711,627
CLT-ROW-2-SINGLE-DO-ROW-1-FIRST,0.6845598845598845,187
Calculate part in proportion with fractions,0.7297399937349295,453
Calculate product of means or extremes,0.8198795737391845,269
Calculate ratio denominator from given,0.474757793227181,490
Calculate ratio numerator from given,0.4221517724079199,488
Calculate solution with means and extremes,0.6991817275525141,267
Calculate total in proportion with fractions,0.7166918908881215,451
Calculate unit rate,0.6296416876421487,470
Changing axis bounds,0.7476330292355208,950
Changing axis intervals,0.9806469772242957,945
Choose Graphical Refl-v,0.6922921522921524,5
Choose Graphical k,0.8450061842918986,7
Choose mean,0.7489133246208718,53
Choose median,0.7458403274729805,49
Choose mode,0.7361933621933622,50
Choose non-perfect square,0.7316475191475191,50
Choose operator in fractional identity,0.8262709320555535,455
Compare differences - added internal,0.7394003527336861,45
Compare differences - added outlier,0.7096992653810835,44
Compare differences - removed outlier,0.6928284061617395,45
Compare large quantities in context,0.7283060476938028,49
Compare means - added internal,0.9351587301587301,45
Compare means - added outlier,0.9315656565656565,44
Compare means - removed outlier,0.9689842873176207,45
Compare medians - added internal,0.9277513227513228,45
Compare medians - added outlier,0.9462637741046831,44
Compare medians - removed outlier,0.944751236417903,45
Compare point and original mean - added internal,0.7612169312169312,45
Compare point and original mean - added outlier,0.8057506887052341,44
Compare point and original mean - removed outlier,0.4981910681910682,45
Compare probabilities -- different trials,0.5983967187618873,89
Compare probabilities -- same trials,0.6892050948806047,87
Compare small quantities in context,0.654369924070257,53
Compare two large numbers in scientific notation,0.8300724637681158,46
Compare two small numbers in scientific notation,0.5982030548068284,53
Compare unit rates,0.9012764791753253,469
Construct square from area,0.792482779275232,53
Construct square from side length,0.8611560347409404,53
Correctly placing points,0.7100467516835219,920
Cterm-Expression-Gla:Student-Modeling-Analysis,0.91062308903218,143
DI-EXPR,0.0,27
DI-ROW1,0.9299824997337435,621
DI-ROW2-1-SC,0.7768483840412183,602
Define Variable,0.8837575011523009,1089
Describe-Cterm-Gla:Student-Modeling-Analysis,0.7551235931517621,142
Describe-Product-Gla:Student-Modeling-Analysis,0.8018701808756908,143
Describe-Proportional-Constant-Gla:Student-Modeling-Analysis,0.6916448134860874,142
