id_student,code_module,code_presentation,final_result,gender,age_band,disability,cluster,pca_x,pca_y
11391,AAA,2013J,Pass,M,55<=,N,2,0.20948905175790983,2.4160623198483067
28400,AAA,2013J,Pass,F,35-55,N,2,0.5291257923544258,-0.529286556149432
30268,AAA,2013J,Withdrawn,F,35-55,Y,0,-1.6888180710198464,-0.7833935258204692
31604,AAA,2013J,Pass,F,35-55,N,2,1.20900456325818,-0.3961669747011244
32885,AAA,2013J,Pass,F,0-35,N,2,0.07099692020155644,-0.5606710037661718
38053,AAA,2013J,Pass,M,35-55,N,1,1.3889886858855107,-0.3329894562553558
45462,AAA,2013J,Pass,M,0-35,N,2,0.8755173568944,-0.5272662306079826
45642,AAA,2013J,Pass,F,0-35,N,2,0.5250276308718103,0.5656051214514732
52130,AAA,2013J,Pass,F,0-35,N,2,0.9844332553453877,0.10459558413636987
53025,AAA,2013J,Pass,M,55<=,N,1,1.734836621748339,-0.29154432058328167
57506,AAA,2013J,Pass,M,35-55,N,2,0.6696992929759503,-0.5222676154096949
58873,AAA,2013J,Pass,F,0-35,N,2,1.0396634558940916,-0.43271625078029397
59185,AAA,2013J,Pass,M,35-55,N,2,0.39695687524185963,-0.5965449160153011
62155,AAA,2013J,Pass,F,0-35,N,1,1.813237876443578,-0.26028739108602883
63400,AAA,2013J,Pass,M,35-55,N,1,1.8532008706190044,-0.25644935895837684
65002,AAA,2013J,Withdrawn,F,0-35,N,2,-0.7675353020085635,-0.7990878189012517
70464,AAA,2013J,Pass,F,35-55,N,2,0.4451069035462306,-0.6594687319599332
71361,AAA,2013J,Pass,M,35-55,N,1,1.4035513550099918,-0.36183998690807523
74372,AAA,2013J,Fail,M,35-55,N,0,-1.3947348498360908,0.8354921378484603
75091,AAA,2013J,Pass,M,35-55,N,1,1.4768746586702532,-0.34580465714246744
77367,AAA,2013J,Pass,M,0-35,N,2,0.2176683002327382,-0.5569740735715907
91265,AAA,2013J,Pass,M,0-35,N,2,0.9152157591568113,-0.4322913945454569
94961,AAA,2013J,Withdrawn,M,35-55,N,2,-0.578829930031059,-0.7846224023037851
98094,AAA,2013J,Pass,M,35-55,N,1,1.959860358275212,-0.49473946311229583
100893,AAA,2013J,Pass,M,0-35,N,2,0.051643158811933924,-0.6304212883738095
101781,AAA,2013J,Pass,M,35-55,N,1,2.194351340505358,-0.23711655163603695
102806,AAA,2013J,Pass,M,0-35,N,1,1.4552528141210745,-0.28972228841445496
102952,AAA,2013J,Pass,M,0-35,N,2,0.4801722309878095,-0.6088501698130603
104476,AAA,2013J,Pass,M,35-55,N,1,2.701170824989876,-0.16630934555087204
106247,AAA,2013J,Withdrawn,M,35-55,N,2,-0.4730289268467137,-0.7153689993822483
106577,AAA,2013J,Pass,M,0-35,N,2,-0.12865883167953643,-0.6364184352610205
110175,AAA,2013J,Pass,M,35-55,N,2,0.17335623689474786,-0.5690990512051438
111717,AAA,2013J,Pass,F,35-55,N,1,1.4169512105680901,-0.4072665723896774
113295,AAA,2013J,Pass,M,35-55,N,1,2.3164626608387415,-0.15952052811747885
114017,AAA,2013J,Pass,F,35-55,N,2,0.13787351931637362,-0.6409171490144573
114999,AAA,2013J,Pass,M,35-55,N,2,0.77135081930642,-0.44530337414367505
116541,AAA,2013J,Pass,M,0-35,N,2,0.9294779381647903,-0.4459781346278602
116692,AAA,2013J,Pass,M,35-55,N,2,0.7596172195872753,-0.5294178433914924
118983,AAA,2013J,Pass,M,0-35,N,2,-0.6442716100279385,0.3384510743358973
123044,AAA,2013J,Pass,M,35-55,N,2,1.189039050796225,-0.3972987047216959
127582,AAA,2013J,Pass,F,0-35,N,2,0.26353206306143856,1.556233432464803
129955,AAA,2013J,Withdrawn,M,0-35,N,2,0.42572509463991604,-0.5949396560504939
132976,AAA,2013J,Pass,F,35-55,N,2,-0.24099412358904054,0.34127419948171284
134143,AAA,2013J,Distinction,F,35-55,N,1,2.004274605500347,-0.36688802865369263
135335,AAA,2013J,Withdrawn,F,0-35,N,0,-2.4007578597891452,1.3005076586665136
135400,AAA,2013J,Withdrawn,F,35-55,Y,2,-0.8316120599207001,-0.7483794362651045
137873,AAA,2013J,Pass,M,35-55,N,1,2.956382389470044,-0.028840728005366134
141355,AAA,2013J,Pass,F,0-35,N,2,0.3599633899627669,2.630047830595313
141377,AAA,2013J,Withdrawn,M,0-35,N,0,-1.808685838520589,4.111792467499457
142326,AAA,2013J,Pass,F,35-55,N,2,0.9485925647343282,-0.45449553629886624
144801,AAA,2013J,Pass,F,35-55,N,1,2.7948018275666424,0.014105892450301295
145130,AAA,2013J,Pass,M,0-35,N,2,-0.5047353605799538,0.3605631802674904
146188,AAA,2013J,Fail,F,0-35,Y,2,-0.3954922118222066,-0.6685214967954503
147756,AAA,2013J,Fail,M,0-35,N,2,-0.05741141240263571,0.428570102331972
147793,AAA,2013J,Withdrawn,F,0-35,N,2,-1.0024349142508788,-0.3052252914005133
148993,AAA,2013J,Withdrawn,F,35-55,Y,2,0.7470472179030404,-0.4806108469647003
151358,AAA,2013J,Pass,F,0-35,N,2,-0.8116587993175394,0.8384722400921335
155550,AAA,2013J,Pass,M,35-55,N,3,-0.15932621037851824,5.683971572596001
155854,AAA,2013J,Pass,F,35-55,N,1,2.684902368978787,-0.12832051215434634
155984,AAA,2013J,Withdrawn,F,0-35,N,2,0.032800097270686036,-0.7017215175795967
157568,AAA,2013J,Pass,F,0-35,N,2,0.7157091496266029,-0.5280476755499938
159954,AAA,2013J,Withdrawn,M,35-55,N,2,0.12145389771794839,-0.6283678937136721
164259,AAA,2013J,Pass,M,0-35,N,2,-0.2725842450844859,-0.629016474285888
167906,AAA,2013J,Pass,F,35-55,N,2,0.6521900197819963,-0.47902166238171645
168936,AAA,2013J,Pass,F,35-55,N,2,-0.21489397556744916,-0.6342875940054411
172112,AAA,2013J,Pass,M,35-55,N,2,1.0488637513121915,-0.3732064616163284
172797,AAA,2013J,Pass,F,35-55,N,2,0.8549934285385546,-0.510930392257412
174782,AAA,2013J,Pass,M,55<=,N,1,3.653908945812881,0.1432344859302095
175392,AAA,2013J,Pass,M,35-55,N,1,2.5998895188138955,-0.0885928704986078
175932,AAA,2013J,Pass,M,35-55,N,2,1.3195829449274232,-0.49154707768231287
175991,AAA,2013J,Fail,F,0-35,N,0,-1.1758817792780236,1.3557968664364257
180753,AAA,2013J,Pass,M,0-35,N,1,0.8000165920365868,0.7325610838614042
181316,AAA,2013J,Withdrawn,F,35-55,N,2,-0.6733985586256653,0.251695697907772
183096,AAA,2013J,Pass,F,0-35,N,2,0.8975102013942993,-0.41632060834564105
183947,AAA,2013J,Pass,M,0-35,N,2,-0.47666002349433123,1.4927937006575651
184271,AAA,2013J,Pass,M,35-55,N,2,0.5984498782180028,1.5093718280425923
185439,AAA,2013J,Fail,M,0-35,N,2,-0.5153803017306829,0.21610746606356987
186149,AAA,2013J,Pass,M,35-55,N,2,1.1817294796935063,-0.4346300423062168
187100,AAA,2013J,Distinction,M,35-55,N,1,4.37764577997646,0.2546253990227257
188278,AAA,2013J,Withdrawn,M,35-55,N,2,-0.08737795700496584,0.37210429866868194
189879,AAA,2013J,Pass,M,0-35,N,2,0.6684423088010085,0.5089855745965429
192183,AAA,2013J,Pass,F,0-35,N,1,2.053537396322778,-0.22586075816766227
195262,AAA,2013J,Withdrawn,M,0-35,N,2,0.3619948075180924,-0.6340618936223871
200860,AAA,2013J,Pass,M,35-55,N,2,-0.23225439126226993,-0.5518897694583569
202635,AAA,2013J,Withdrawn,F,0-35,N,2,0.3987230281044789,-0.659042976362934
205350,AAA,2013J,Pass,M,35-55,N,2,0.9749236465531607,-0.4172735186887856
205719,AAA,2013J,Fail,M,0-35,Y,2,-0.7218449728797559,-0.19851406383313094
227499,AAA,2013J,Distinction,F,35-55,N,1,1.9715535551501258,-0.2756777242172989
227517,AAA,2013J,Fail,M,0-35,N,2,-0.007758108371025557,1.5108082190396068
228082,AAA,2013J,Pass,M,0-35,N,2,-0.5243699080925877,-0.6679469123101555
228222,AAA,2013J,Pass,M,0-35,N,2,-0.3375672648574141,-0.6663082847850053
229179,AAA,2013J,Pass,M,0-35,N,2,0.14777535723200697,-0.6591343709202601
229361,AAA,2013J,Pass,M,0-35,N,2,1.0376735807608837,-0.47332843179164336
231554,AAA,2013J,Pass,M,0-35,N,2,0.4282489395161759,2.5817066104997144
235507,AAA,2013J,Withdrawn,M,0-35,N,0,-1.3362069611230263,2.326325830241613
236284,AAA,2013J,Pass,M,0-35,N,2,0.1877276073209106,-0.669766697288844
238007,AAA,2013J,Pass,M,55<=,N,1,1.3665400190536001,-0.32331959586661285
240712,AAA,2013J,Pass,M,0-35,N,2,-0.25422478277911226,-0.371478370223384
240884,AAA,2013J,Pass,M,0-35,N,2,-0.5840563999158329,0.3924740586314222
241649,AAA,2013J,Pass,M,35-55,N,2,1.2913475231244316,-0.39566242260700263
241729,AAA,2013J,Fail,F,35-55,N,2,0.7498322246721443,-0.41199197405787413
242793,AAA,2013J,Pass,M,35-55,N,2,0.0391801521402191,-0.6220736072263556
246834,AAA,2013J,Pass,M,35-55,N,2,0.2117321241497839,-0.5647040311163407
248270,AAA,2013J,Pass,M,0-35,N,1,1.5733998560200528,0.257735385049492
255548,AAA,2013J,Pass,M,35-55,N,1,1.6172297166177716,-0.2752228559814852
256815,AAA,2013J,Pass,M,0-35,N,2,0.9397881608022634,0.6288457170366593
258392,AAA,2013J,Pass,F,0-35,N,2,-0.10093623911927219,-0.6084735681282735
258894,AAA,2013J,Pass,F,35-55,N,1,2.6272348707639512,-0.029387891410738574
260355,AAA,2013J,Withdrawn,F,35-55,N,2,-0.5400794232884325,-0.7110412534711328
262011,AAA,2013J,Pass,M,35-55,N,2,0.329957104955082,-0.5756909480574341
262934,AAA,2013J,Pass,F,35-55,N,2,1.2755908204380566,-0.3882773023842315
268073,AAA,2013J,Fail,M,35-55,N,1,1.661817692869652,0.15799992562429888
268733,AAA,2013J,Withdrawn,M,0-35,N,0,-1.2252703574946577,1.2976737941117382
271251,AAA,2013J,Pass,M,35-55,N,1,2.089907108862536,-0.3452412601824574
277880,AAA,2013J,Withdrawn,F,0-35,N,2,0.7220914253769797,-0.5429797725702761
279572,AAA,2013J,Distinction,M,0-35,N,2,0.6467159389429589,-0.605834621787192
281022,AAA,2013J,Pass,F,0-35,N,2,-0.2751629267609917,0.9032968712997291
281250,AAA,2013J,Fail,M,35-55,N,2,-0.9642380698942076,-0.7065459164745741
281589,AAA,2013J,Fail,M,0-35,N,0,-2.191868392139761,-0.7698504298956103
282821,AAA,2013J,Pass,M,35-55,N,2,0.8526599541133612,-0.49048868818118235
286488,AAA,2013J,Pass,M,35-55,N,2,0.4678391542483431,-0.593284608579134
